cs
Java HotSpot(TM) 64-Bit Server VM (25.91-b15) for windows-amd64 JRE (1.8.0_91-b15), built on May 20 2016 17:43:15 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8264804k(3860248k free), swap 15342692k(7045120k free)
CommandLine flags: -XX:+HeapDumpOnOutOfMemoryError -XX:HeapDumpPath=D:/logs/temp.dump -XX:InitialHeapSize=10485760 -XX:MaxHeapSize=10485760 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.098: [GC (Allocation Failure) [PSYoungGen: 2048K->488K(2560K)] 2048K->874K(9728K), 0.0072442 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.135: [Full GC (Ergonomics) [PSYoungGen: 2048K->1966K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8901K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0129531 secs] [Times: user=0.06 sys=0.02, real=0.01 secs] 
2.148: [Full GC (Ergonomics) [PSYoungGen: 2048K->1975K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8911K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0127099 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2.161: [Full GC (Ergonomics) [PSYoungGen: 2048K->1984K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8920K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0135115 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2.175: [Full GC (Ergonomics) [PSYoungGen: 2048K->1992K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8927K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0135541 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2.189: [Full GC (Ergonomics) [PSYoungGen: 2048K->1998K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8934K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0126457 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.201: [Full GC (Ergonomics) [PSYoungGen: 2048K->2004K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8940K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0125874 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2.214: [Full GC (Ergonomics) [PSYoungGen: 2048K->2010K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8945K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0133448 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2.228: [Full GC (Ergonomics) [PSYoungGen: 2048K->2014K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8950K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0129787 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2.241: [Full GC (Ergonomics) [PSYoungGen: 2048K->2018K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8954K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0139319 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.255: [Full GC (Ergonomics) [PSYoungGen: 2048K->2022K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8957K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0118781 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.267: [Full GC (Ergonomics) [PSYoungGen: 2048K->2025K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8960K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0139086 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.281: [Full GC (Ergonomics) [PSYoungGen: 2047K->2027K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8963K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0125724 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.294: [Full GC (Ergonomics) [PSYoungGen: 2048K->2030K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8965K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0127070 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.307: [Full GC (Ergonomics) [PSYoungGen: 2048K->2032K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8968K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0121396 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.319: [Full GC (Ergonomics) [PSYoungGen: 2048K->2034K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8970K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0139079 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.333: [Full GC (Ergonomics) [PSYoungGen: 2048K->2035K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8971K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0139203 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.347: [Full GC (Ergonomics) [PSYoungGen: 2048K->2037K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8973K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0129134 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.360: [Full GC (Ergonomics) [PSYoungGen: 2048K->2038K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8974K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0130374 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.373: [Full GC (Ergonomics) [PSYoungGen: 2048K->2039K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8975K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0117938 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.385: [Full GC (Ergonomics) [PSYoungGen: 2048K->2040K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8976K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0145763 secs] [Times: user=0.09 sys=0.00, real=0.02 secs] 
2.400: [Full GC (Ergonomics) [PSYoungGen: 2048K->2041K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8977K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0140501 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2.414: [Full GC (Ergonomics) [PSYoungGen: 2048K->2042K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8978K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0128565 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.427: [Full GC (Ergonomics) [PSYoungGen: 2048K->2043K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8978K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0137376 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2.441: [Full GC (Ergonomics) [PSYoungGen: 2048K->2043K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8979K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0128879 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.454: [Full GC (Ergonomics) [PSYoungGen: 2048K->2044K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8979K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0129674 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2.467: [Full GC (Ergonomics) [PSYoungGen: 2048K->2044K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8980K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0140151 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
2.481: [Full GC (Ergonomics) [PSYoungGen: 2048K->2045K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8980K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0122654 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
2.494: [Full GC (Ergonomics) [PSYoungGen: 2048K->2045K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8981K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0128572 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.507: [Full GC (Ergonomics) [PSYoungGen: 2048K->2045K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8981K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0119098 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.519: [Full GC (Ergonomics) [PSYoungGen: 2048K->2046K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8981K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0132755 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.532: [Full GC (Ergonomics) [PSYoungGen: 2048K->2046K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8981K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0139480 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.547: [Full GC (Ergonomics) [PSYoungGen: 2048K->2046K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0124514 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.559: [Full GC (Ergonomics) [PSYoungGen: 2048K->2046K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0134159 secs] [Times: user=0.06 sys=0.02, real=0.01 secs] 
2.573: [Full GC (Ergonomics) [PSYoungGen: 2048K->2046K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0119277 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2.585: [Full GC (Ergonomics) [PSYoungGen: 2048K->2046K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0133309 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.598: [Full GC (Ergonomics) [PSYoungGen: 2048K->2047K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0139516 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2.612: [Full GC (Ergonomics) [PSYoungGen: 2048K->2047K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0126618 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2.625: [Full GC (Ergonomics) [PSYoungGen: 2048K->2047K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0127074 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
2.638: [Full GC (Ergonomics) [PSYoungGen: 2048K->2047K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8983K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0121662 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
2.650: [Full GC (Ergonomics) [PSYoungGen: 2048K->2047K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8983K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0132660 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2.664: [Full GC (Ergonomics) [PSYoungGen: 2048K->2047K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0178886 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
2.682: [Full GC (Ergonomics) [PSYoungGen: 2048K->2047K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0126096 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
2.694: [Full GC (Ergonomics) [PSYoungGen: 2048K->2047K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0131464 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
2.708: [Full GC (Ergonomics) [PSYoungGen: 2048K->2047K(2560K)] [ParOldGen: 6935K->6935K(7168K)] 8983K->8982K(9728K), [Metaspace: 3844K->3844K(1056768K)], 0.0138608 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
